label,quantity,description,image_url
Doxycycline,0,"A prescription antibiotic medication used to treat a variety of bacterial infections, including respiratory, urinary tract, and skin infections, by inhibiting the growth and spread of bacteria in the body.","https://www.sfaf.org/wp-content/uploads/pill-bottle-2-copy-cropped.jpg"
Vyvanse,0,"A prescription medication used to treat attention deficit hyperactivity disorder (ADHD) and binge eating disorder (BED) by affecting certain neurotransmitters in the brain to improve focus and reduce impulsivity and hyperactivity.","https://www.medsconsulting.com/wp-content/uploads/2020/10/vyvanse.jpg"
Truvada,0,"A prescription medication used as pre-exposure prophylaxis (PrEP) to help reduce the risk of HIV infection in individuals at high risk, as well as for the treatment of HIV when used in combination with other antiretroviral drugs.","https://cdn1.poz.com/35162_truvada-prep-1.jpg_13d30a0c-647c-4cd1-9ebc-b7772eccd004.jpeg"
Hydroxyzine,0,"A prescription antihistamine medication used to relieve itching, anxiety, and allergic reactions by blocking the effects of histamine in the body and having a calming effect on the central nervous system.","https://s.turbifycdn.com/aah/yhst-135855760451349/hydroxyzine-pamoate-25mg-per-caps-manufacture-may-vary-32.jpg"
Aricept,0,"A prescription medication used to treat Alzheimer''s disease by increasing levels of certain neurotransmitters in the brain to improve cognitive function and slow the progression of symptoms.","https://worldwidefarma.com/wp-content/uploads/2021/06/Aricept_10mg_30_Tablets_Persp.png"
Aspirin,0,"An over-the-counter medication that is used to relieve pain, reduce inflammation, and lower fever, while also having antiplatelet properties that can help reduce the risk of blood clot formation in some medical conditions.","https://i.ebayimg.com/images/g/X4AAAOSwladguNGR/s-l1600.jpg"
Xanax,0,"A prescription medication used to treat anxiety and panic disorders by producing a calming effect in the brain.","https://www.tpoftampa.com/wp-content/uploads/2023/06/xanax-addiction-turning-point-of-tampa.webp"
Singulair,0,"A prescription medication used to treat asthma and allergy symptoms by blocking substances in the body that cause inflammation and constriction of the airways.","https://i2.wp.com/allergylosangeles.com/wp-content/uploads/2023/08/61C9gcme7CL.jpg?fit=1996%2C1996&ssl=1"
Lamictal,0,"A prescription medication primarily used to treat epilepsy and bipolar disorder by stabilizing mood and reducing the frequency of seizures.","https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/xfzvjgzmyipmofkhsfhw.jpg"
Mucinex,0,"An over-the-counter medication that contains guaifenesin and is used to relieve chest congestion and thin mucus in the airways, making it easier to cough up and clear.","https://m.media-amazon.com/images/I/717meSaeBvL._AC_UF1000,1000_QL80_.jpg"
Carboplatin,0,"A chemotherapy drug used to treat various types of cancer by interfering with the growth and spread of cancer cells in the body.","https://eugiaus.com/wp-content/uploads/CARBOplatin-600mg-60mL-web.jpg"
Atorvastatin,0,"A prescription medication used to lower cholesterol levels in the blood and reduce the risk of cardiovascular events like heart attacks and strokes.","https://m.media-amazon.com/images/I/41Xx4kKp4zL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_SCLZZZZZZZ_FMpng_BG255%2C255%2C255.jpg"
Benadryl,0,"An over-the-counter antihistamine medication used to relieve symptoms of allergies, such as itching, sneezing, runny nose, and hives, by blocking the effects of histamine in the body.","https://www.benadryl.ca/sites/benadryl_ca/files/styles/product_image/public/ben_062600963635_allergy_caplets_36ct_en.jpg"
Docusate,0,"An over-the-counter stool softener used to relieve constipation by making it easier for water to penetrate and soften dry or hard stools.","https://cdn11.bigcommerce.com/s-1o6e0ubibu/images/stencil/1280x1280/products/234/1653/major-docusate-sodium-100mg-100softgels-stool-softener-laxative-generic-colace-regular-strength-stool-softener-x_1__77629.1652985491.jpg?c=2"
Symbicort,0,"A prescription medication used to treat asthma and chronic obstructive pulmonary disease (COPD) by combining two active ingredients (budesonide and formoterol) to reduce airway inflammation and improve breathing.","https://d8z57tiamduo7.cloudfront.net/images/Symbicort-100.png"
